DIG_OUT_SINE_input X,DIG_OUT_SINE_input Y
2.90000000000003E-05,5
2.90500000000003E-05,10
2.91000000000003E-05,4
2.91500000000003E-05,11
2.92000000000003E-05,4
2.92500000000003E-05,12
2.93000000000003E-05,3
2.93500000000003E-05,12
2.94000000000003E-05,2
2.94500000000003E-05,13
2.95000000000003E-05,2
2.95500000000003E-05,14
2.96000000000003E-05,1
2.96500000000003E-05,14
2.97000000000003E-05,0
2.97500000000003E-05,15
2.98000000000003E-05,0
2.98500000000003E-05,15
2.99000000000003E-05,0
2.99500000000003E-05,15
3.00000000000003E-05,0
3.00500000000003E-05,15
3.01000000000003E-05,0
3.01500000000003E-05,15
3.02000000000003E-05,0
3.02500000000003E-05,15
3.03000000000003E-05,0
3.03500000000003E-05,15
3.04000000000003E-05,0
3.04500000000003E-05,15
3.05000000000003E-05,0
3.05500000000003E-05,15
3.06000000000003E-05,0
3.06500000000003E-05,15
3.07000000000003E-05,0
3.07500000000003E-05,15
3.08000000000003E-05,0
3.08500000000003E-05,15
3.09000000000003E-05,0
3.09500000000003E-05,15
3.10000000000003E-05,0
3.10500000000003E-05,15
3.11000000000003E-05,0
3.11500000000003E-05,15
3.12000000000003E-05,0
3.12500000000003E-05,15
3.13000000000003E-05,0
3.13500000000003E-05,15
3.14000000000003E-05,0
3.14500000000003E-05,15
3.15000000000003E-05,0
3.15500000000003E-05,15
3.16000000000003E-05,0
3.16500000000004E-05,15
3.17000000000003E-05,0
3.17500000000003E-05,15
3.18000000000004E-05,0
3.18500000000004E-05,15
3.19000000000004E-05,0
3.19500000000004E-05,15
3.20000000000004E-05,0
3.20500000000004E-05,15
3.21000000000004E-05,0
3.21500000000004E-05,15
3.22000000000004E-05,0
3.22500000000004E-05,15
3.23000000000004E-05,1
3.23500000000004E-05,14
3.24000000000004E-05,1
3.24500000000004E-05,14
3.25000000000004E-05,1
3.25500000000004E-05,13
3.26000000000004E-05,2
3.26500000000004E-05,13
3.27000000000004E-05,2
3.27500000000004E-05,12
3.28000000000004E-05,3
3.28500000000004E-05,12
3.29000000000004E-05,3
3.29500000000004E-05,11
3.30000000000004E-05,4
3.30500000000004E-05,11
3.31000000000004E-05,4
3.31500000000004E-05,10
3.32000000000004E-05,5
3.32500000000004E-05,10
3.33000000000004E-05,5
3.33500000000004E-05,9
3.34000000000004E-05,6
3.34500000000004E-05,9
3.35000000000004E-05,6
3.35500000000004E-05,8
3.36000000000004E-05,7
3.36500000000004E-05,8
3.37000000000004E-05,8
3.37500000000004E-05,7
3.38000000000004E-05,8
3.38500000000004E-05,7
3.39000000000004E-05,9
3.39500000000004E-05,6
3.40000000000004E-05,9
3.40500000000004E-05,5
3.41000000000004E-05,10
3.41500000000004E-05,5
3.42000000000004E-05,11
3.42500000000004E-05,4
3.43000000000004E-05,11
3.43500000000004E-05,3
3.44000000000004E-05,12
3.44500000000004E-05,3
3.45000000000004E-05,12
3.45500000000004E-05,2
3.46000000000004E-05,13
3.46500000000004E-05,2
3.47000000000004E-05,14
3.47500000000004E-05,1
3.48000000000004E-05,14
3.48500000000004E-05,0
3.49000000000004E-05,15
3.49500000000004E-05,0
3.50000000000004E-05,15
3.50500000000004E-05,0
3.51000000000004E-05,15
3.51500000000004E-05,0
3.52000000000004E-05,15
3.52500000000004E-05,0
3.53000000000004E-05,15
3.53500000000004E-05,0
3.54000000000004E-05,15
3.54500000000004E-05,0
3.55000000000004E-05,15
3.55500000000004E-05,0
3.56000000000004E-05,15
3.56500000000005E-05,0
3.57000000000005E-05,15
3.57500000000005E-05,0
3.58000000000004E-05,15
3.58500000000005E-05,0
3.59000000000005E-05,15
3.59500000000004E-05,0
3.60000000000005E-05,15
3.60500000000005E-05,0
3.61000000000005E-05,15
3.61500000000005E-05,0
3.62000000000005E-05,15
3.62500000000005E-05,0
3.63000000000005E-05,15
3.63500000000005E-05,0
3.64000000000005E-05,15
3.64500000000005E-05,0
3.65000000000005E-05,15
3.65500000000005E-05,0
3.66000000000005E-05,15
3.66500000000005E-05,0
3.67000000000005E-05,15
3.67500000000005E-05,0
3.68000000000005E-05,15
3.68500000000005E-05,0
3.69000000000005E-05,15
3.69500000000005E-05,0
3.70000000000005E-05,15
3.70500000000005E-05,0
3.71000000000005E-05,15
3.71500000000005E-05,0
3.72000000000005E-05,15
3.72500000000005E-05,0
3.73000000000005E-05,15
3.73500000000005E-05,0
3.74000000000005E-05,15
3.74500000000005E-05,1
3.75000000000005E-05,14
3.75500000000005E-05,1
3.76000000000005E-05,14
3.76500000000005E-05,2
3.77000000000005E-05,13
3.77500000000005E-05,2
3.78000000000005E-05,13
3.78500000000005E-05,2
3.79000000000005E-05,12
3.79500000000005E-05,3
3.80000000000005E-05,12
3.80500000000005E-05,3
3.81000000000005E-05,11
3.81500000000005E-05,4
3.82000000000005E-05,11
3.82500000000005E-05,4
3.83000000000005E-05,10
3.83500000000005E-05,5
3.84000000000005E-05,10
3.84500000000005E-05,5
3.85000000000005E-05,9
3.85500000000005E-05,6
3.86000000000005E-05,9
3.86500000000005E-05,7
3.87000000000005E-05,8
3.87500000000005E-05,7
3.88000000000005E-05,8
3.88500000000005E-05,8
3.89000000000005E-05,7
3.89500000000005E-05,8
3.90000000000005E-05,6
3.90500000000005E-05,9
3.91000000000005E-05,6
3.91500000000005E-05,10
3.92000000000005E-05,5
3.92500000000005E-05,10
3.93000000000005E-05,5
3.93500000000005E-05,11
3.94000000000005E-05,4
3.94500000000005E-05,11
3.95000000000005E-05,3
3.95500000000005E-05,12
3.96000000000005E-05,3
3.96500000000005E-05,13
3.97000000000005E-05,2
3.97500000000006E-05,13
3.98000000000005E-05,1
3.98500000000006E-05,14
3.99000000000006E-05,1
3.99500000000006E-05,15
4.00000000000006E-05,0
4.00500000000006E-05,15
4.01000000000006E-05,0
4.01500000000006E-05,15
4.02000000000006E-05,0
4.02500000000006E-05,15
4.03000000000006E-05,0
4.03500000000006E-05,15
4.04000000000006E-05,0
4.04500000000006E-05,15
4.05000000000006E-05,0
4.05500000000006E-05,15
4.06000000000006E-05,0
4.06500000000006E-05,15
4.07000000000006E-05,0
4.07500000000006E-05,15
4.08000000000006E-05,0
4.08500000000006E-05,15
4.09000000000006E-05,0
4.09500000000006E-05,15
4.10000000000006E-05,0
4.10500000000006E-05,15
4.11000000000006E-05,0
4.11500000000006E-05,15
4.12000000000006E-05,0
4.12500000000006E-05,15
4.13000000000006E-05,0
4.13500000000006E-05,15
4.14000000000006E-05,0
4.14500000000006E-05,15
4.15000000000006E-05,0
4.15500000000006E-05,15
4.16000000000006E-05,0
4.16500000000006E-05,15
4.17000000000006E-05,0
4.17500000000006E-05,15
4.18000000000006E-05,0
4.18500000000006E-05,15
4.19000000000006E-05,0
4.19500000000006E-05,15
4.20000000000006E-05,0
4.20500000000006E-05,15
4.21000000000006E-05,0
4.21500000000006E-05,15
4.22000000000006E-05,0
4.22500000000006E-05,15
4.23000000000006E-05,0
4.23500000000006E-05,15
4.24000000000006E-05,0
4.24500000000006E-05,15
4.25000000000006E-05,0
4.25500000000006E-05,14
4.26000000000006E-05,1
4.26500000000006E-05,14
4.27000000000006E-05,1
4.27500000000006E-05,14
4.28000000000006E-05,2
4.28500000000006E-05,13
4.29000000000006E-05,2
4.29500000000006E-05,13
4.30000000000006E-05,3
4.30500000000006E-05,12
4.31000000000006E-05,3
4.31500000000006E-05,12
4.32000000000006E-05,4
4.32500000000006E-05,11
4.33000000000006E-05,4
4.33500000000006E-05,11
4.34000000000006E-05,5
4.34500000000006E-05,10
4.35000000000006E-05,5
4.35500000000006E-05,10
4.36000000000006E-05,6
4.36500000000006E-05,9
4.37000000000006E-05,6
4.37500000000006E-05,9
4.38000000000006E-05,7
4.38500000000006E-05,8
4.39000000000007E-05,7
4.39500000000007E-05,7
4.40000000000007E-05,8
4.40500000000007E-05,7
4.41000000000007E-05,8
4.41500000000007E-05,6
4.42000000000007E-05,9
4.42500000000007E-05,6
4.43000000000007E-05,10
4.43500000000007E-05,5
4.44000000000007E-05,10
4.44500000000007E-05,4
4.45000000000007E-05,11
4.45500000000007E-05,4
4.46000000000007E-05,12
4.46500000000007E-05,3
4.47000000000007E-05,12
4.47500000000007E-05,2
4.48000000000007E-05,13
4.48500000000007E-05,2
4.49000000000007E-05,14
4.49500000000007E-05,1
4.50000000000007E-05,14
4.50500000000007E-05,0
4.51000000000007E-05,15
4.51500000000007E-05,0
4.52000000000007E-05,15
4.52500000000007E-05,0
4.53000000000007E-05,15
4.53500000000007E-05,0
4.54000000000007E-05,15
4.54500000000007E-05,0
4.55000000000007E-05,15
4.55500000000007E-05,0
4.56000000000007E-05,15
4.56500000000007E-05,0
4.57000000000007E-05,15
4.57500000000007E-05,0
4.58000000000007E-05,15
4.58500000000007E-05,0
4.59000000000007E-05,15
4.59500000000007E-05,0
4.60000000000007E-05,15
4.60500000000007E-05,0
4.61000000000007E-05,15
4.61500000000007E-05,0
4.62000000000007E-05,15
4.62500000000007E-05,0
4.63000000000007E-05,15
4.63500000000007E-05,0
4.64000000000007E-05,15
4.64500000000007E-05,0
4.65000000000007E-05,15
4.65500000000007E-05,0
4.66000000000007E-05,15
4.66500000000007E-05,0
4.67000000000007E-05,15
4.67500000000007E-05,0
4.68000000000007E-05,15
4.68500000000007E-05,0
4.69000000000007E-05,15
4.69500000000007E-05,0
4.70000000000007E-05,15
4.70500000000007E-05,0
4.71000000000007E-05,15
4.71500000000007E-05,0
4.72000000000007E-05,15
4.72500000000007E-05,0
4.73000000000007E-05,15
4.73500000000007E-05,0
4.74000000000007E-05,15
4.74500000000007E-05,0
4.75000000000007E-05,15
4.75500000000007E-05,0
4.76000000000007E-05,15
4.76500000000007E-05,0
4.77000000000007E-05,14
4.77500000000007E-05,1
4.78000000000007E-05,14
4.78500000000007E-05,1
4.79000000000007E-05,13
4.79500000000008E-05,2
4.80000000000008E-05,13
4.80500000000008E-05,2
4.81000000000008E-05,12
4.81500000000008E-05,3
4.82000000000008E-05,12
4.82500000000008E-05,3
4.83000000000008E-05,12
4.83500000000008E-05,4
4.84000000000008E-05,11
4.84500000000008E-05,4
4.85000000000008E-05,11
4.85500000000008E-05,5
4.86000000000008E-05,10
4.86500000000008E-05,5
4.87000000000008E-05,9
4.87500000000008E-05,6
4.88000000000008E-05,9
4.88500000000008E-05,6
4.89000000000008E-05,8
4.89500000000008E-05,7
4.90000000000008E-05,8
4.90500000000008E-05,7
4.91000000000008E-05,7
4.91500000000008E-05,8
4.92000000000008E-05,7
4.92500000000008E-05,9
4.93000000000008E-05,6
4.93500000000008E-05,9
4.94000000000008E-05,5
4.94500000000008E-05,10
4.95000000000008E-05,5
4.95500000000008E-05,11
4.96000000000008E-05,4
4.96500000000008E-05,11
4.97000000000008E-05,4
4.97500000000008E-05,12
4.98000000000008E-05,3
4.98500000000008E-05,12
4.99000000000008E-05,2
4.99500000000008E-05,13
5.00000000000008E-05,2
5.00500000000008E-05,14
5.01000000000008E-05,1
5.01500000000008E-05,14
5.02000000000008E-05,0
5.02500000000008E-05,15
5.03000000000008E-05,0
5.03500000000008E-05,15
5.04000000000008E-05,0
5.04500000000008E-05,15
5.05000000000008E-05,0
5.05500000000008E-05,15
5.06000000000008E-05,0
5.06500000000008E-05,15
5.07000000000008E-05,0
5.07500000000008E-05,15
5.08000000000008E-05,0
5.08500000000008E-05,15
5.09000000000008E-05,0
5.09500000000008E-05,15
5.10000000000008E-05,0
5.10500000000008E-05,15
5.11000000000008E-05,0
5.11500000000008E-05,15
